sex,species,pow,rw,sopd,cw,ifl,ml,mw,md,arh
2,2,241,241,612,170,73,1163,139,191,641
2,2,246,235,623,154,98,1152,143,194,689
2,2,235,250,,167,107,1176,134,194,683
2,2,248,263,620,170,83,1179,140,189,650
2,2,235,253,657,118,78,,141,193,717
2,2,228,259,650,138,79,1199,148,202,700
2,2,217,247,585,137,98,1156,134,190,642
2,2,231,257,635,160,82,1233,142,185,700
2,2,234,264,646,172,78,1263,150,216,715
2,2,230,274,649,139,97,1291,157,217,737
2,2,256,278,642,200,118,1291,150,200,740
2,2,225,278,676,122,74,1260,148,194,751
2,2,217,305,650,178,82,1287,141,199,736
2,2,190,270,651,78,87,1337,158,210,747
2,2,236,289,680,145,106,1334,153,211,739
2,2,253,291,699,188,103,1354,153,223,807
